id,created_at,severity,event_type,message,source,actor_principal,actor_username,board_id
32663,2026-05-25T07:57:32.581096+00:00,INFO,general,Modo desactivado por trigger OFF: horario_automatico,system,system,,1
32662,2026-05-25T07:57:13.803336+00:00,OK,general,Regla ejecutada: horario_automatico,system,system,,1
32661,2026-05-25T07:57:06.242855+00:00,INFO,general,Modo desactivado por trigger OFF: horario_automatico,system,system,,1
32660,2026-05-25T07:56:57.120862+00:00,OK,general,Regla ejecutada: horario_automatico,system,system,,1
32659,2026-05-25T07:56:43.666996+00:00,INFO,general,Modo desactivado por trigger OFF: horario_automatico,system,system,,1
32658,2026-05-25T07:56:37.547922+00:00,OK,general,Regla ejecutada: horario_automatico,system,system,,1
32657,2026-05-25T07:56:24.207695+00:00,INFO,general,Modo desactivado por trigger OFF: horario_automatico,system,system,,1
32656,2026-05-25T07:56:17.971523+00:00,OK,general,Regla ejecutada: horario_automatico,system,system,,1
32655,2026-05-25T07:56:07.868270+00:00,OK,general,Regla ejecutada: cierres_mecanicos_puerta_oficina,system,system,,1
32654,2026-05-25T07:56:04.533224+00:00,OK,general,Regla ejecutada: horario_cerrado,system,system,,1
32653,2026-05-25T07:55:36.396001+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_oficina_esclusa,system,system,,1
32652,2026-05-25T07:55:36.315910+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_oficina,system,system,,1
32651,2026-05-25T07:55:33.313786+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_oficina_esclusa,system,system,,1
32650,2026-05-25T07:55:33.233866+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_oficina,system,system,,1
32649,2026-05-25T07:55:03.775187+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_oficina_esclusa,system,system,,1
32648,2026-05-25T07:55:03.695049+00:00,INFO,general,Radar OFF o bloqueo â†’ salidas OFF radares_exterior_puerta_oficina,system,system,,1
32647,2026-05-25T07:55:00.733444+00:00,OK,general,Radar ON â†’ salidas regla radares_exterior_puerta_oficina_esclusa,system,system,,1
